Артикул продавца	Артикул товара	Заказы (всего)	Остатки (всего)	Оборачиваемость	Название склада	Заказы со склада	Остатки на складе
Its1_2_3/50g	163383326	103	3 184	216,000	Чехов 1 Подольск 3 Сургут СЦ Псков СЦ Липецк Обухово Пушкино СЦ Вологда 2 СЦ Чебоксары 2 Екатеринбург - Перспективный 12 Крыловская СЦ Ижевск СЦ Смоленск 3 СЦ Барнаул Рязань (Тюшевское) Электросталь Котовск Краснодар Артём СЦ Сыктывкар СЦ Чита 2 СЦ Астрахань (Солянка) Самара (Новосемейкино) СЦ Челябинск 2 Коледино Радумля 1 Маркетплейс Казань Обухово МП	4 12 0 0 0 0 0 0 0 3 0 0 0 0 16 14 11 11 0 0 0 0 24 0 0 0 0 2 6	193 1 0 0 0 0 1 1 0 1 0 0 0 1 49 1 94 49 1 0 0 0 86 1 40 0 2665 0 0
Its1_2_3/50g+AksPoly/20g	192024921	3	94	219,000	Коледино Маркетплейс Обухово МП Краснодар	0 0 2 1	2 92 0 0
Its2/50g+Aks5/20g.FBS	552086752	2	174	609,000	Белая дача Обухово СЦ Астрахань (Солянка) Коледино Маркетплейс Обухово МП	0 0 0 0 0 2	0 0 0 0 174 0
Its2/50g+AksDef/20g	192023173	0	0	0,000	Коледино Маркетплейс	0 0	0 0
ItsSport2/50g	163383328	23	1 191	362,000	Чехов 1 Иваново Рязань (Тюшевское) Котовск Пушкино СЦ Сыктывкар Подольск 3 Екатеринбург - Перспективный 12 СЦ Кузнецк Электросталь Самара (Новосемейкино) СЦ Внуково СЦ Шушары Краснодар Коледино Маркетплейс Воронеж	0 0 4 2 0 0 7 0 0 2 2 0 0 5 0 0 1	86 0 30 33 1 0 22 1 0 0 69 0 0 5 17 927 0
Its1_2_3/50g+Aks5/20g	262310316	16	180	78,000	Артём Вёшки Обухово СЦ Уфа Коледино Маркетплейс Рязань (Тюшевское) Обухово МП	0 0 0 0 0 0 1 15	0 0 1 1 4 174 0 0
Its2/50g+Aks5/20g	262310317	22	185	58,000	Сургут Самара (Новосемейкино) СЦ Кузнецк СЦ Челябинск 2 СЦ Пермь 2 Обухово Коледино Маркетплейс Екатеринбург - Перспективный 12 Обухово МП	0 0 0 0 0 0 0 0 1 21	0 1 0 0 1 2 7 174 0 0
Its2/50g	163383327	61	2 072	237,000	Краснодар СЦ Сыктывкар СЦ Псков СЦ Липецк Пушкино СЦ Чебоксары 2 Белая дача СЦ Софьино СЦ Кузнецк СЦ Пятигорск СЦ Хабаровск СЦ Омск Рязань (Тюшевское) СЦ Ярославль Громова СЦ Архангельск Подольск 3 Котовск Коледино Электросталь Маркетплейс Казань Самара (Новосемейкино)	10 0 0 0 0 0 0 0 0 0 0 0 2 0 0 14 8 0 25 0 1 1	32 0 0 0 1 1 0 0 0 0 1 0 87 0 0 23 66 19 78 1764 0 0
Its1_2_3/50g+Aks5/20g.FBS	552086750	4	180	315,000	Коледино Обухово Невинномысск Краснодар Маркетплейс Обухово МП	0 0 0 0 0 4	2 3 0 1 174 0
ItsSport2/50g+Aks5/20g	262310318	11	180	114,000	СЦ Чита 2 Вёшки Радумля 1 Обухово Коледино Маркетплейс Обухово МП Екатеринбург - Перспективный 12	0 0 0 0 0 0 10 1	0 0 0 0 6 174 0 0
Its1_2_3/50g+AksRecov/20g	192024922	0	186	0,000	Обухово СЦ Ярославль Громова Коледино Маркетплейс	0 0 0 0	0 0 1 185
ItsSport2/50g+Aks5/20g.FBS	552086756	3	175	408,000	Обухово Коледино Маркетплейс Обухово МП	0 0 0 3	0 1 174 0